scenario_kind,missing_rate,false_alarm_count,trial_count,global_exact_match,correlated_exact_match,global_root_recall,correlated_root_recall,service_recall,service_jaccard
independent,0.0,0,120,0.5,1.0,0.75,1.0,1.0,1.0
independent,0.0,2,120,0.4166666666666667,0.6333333333333333,0.7,0.8125,0.9568452380952382,0.8299933862433861
independent,0.0,4,120,0.4166666666666667,0.55,0.6916666666666667,0.7583333333333333,0.9282738095238096,0.7662731481481477
independent,0.2,0,120,0.35,0.8083333333333333,0.675,0.9041666666666667,0.9389880952380952,0.8949404761904762
independent,0.2,2,120,0.30833333333333335,0.6,0.6375,0.7791666666666667,0.9232142857142857,0.7954332010582008
independent,0.2,4,120,0.2833333333333333,0.45,0.6083333333333333,0.675,0.8922619047619047,0.7032872914122916
independent,0.4,0,120,0.2,0.6333333333333333,0.5958333333333333,0.8125,0.8825396825396825,0.8249999999999998
independent,0.4,2,120,0.175,0.4083333333333333,0.5375,0.6416666666666667,0.8114087301587299,0.6667203398453395
independent,0.4,4,120,0.13333333333333333,0.2833333333333333,0.48333333333333334,0.5666666666666667,0.7768849206349204,0.6006087199837198
nested,0.0,0,120,0.19166666666666668,1.0,0.5958333333333333,1.0,1.0,1.0
nested,0.0,2,120,0.14166666666666666,0.7666666666666667,0.5708333333333333,0.8833333333333333,1.0,0.9334325396825401
nested,0.0,4,120,0.16666666666666666,0.6583333333333333,0.5833333333333334,0.825,1.0,0.8853174603174607
nested,0.2,0,120,0.18333333333333332,0.8666666666666667,0.5916666666666667,0.9333333333333333,0.9944444444444446,0.9819444444444445
nested,0.2,2,120,0.175,0.6666666666666666,0.5791666666666667,0.825,0.9819444444444444,0.8759920634920638
nested,0.2,4,120,0.15,0.575,0.5333333333333333,0.7791666666666667,0.9958333333333333,0.8577380952380956
nested,0.4,0,120,0.275,0.6916666666666667,0.6375,0.8458333333333333,0.9847222222222222,0.9430555555555554
nested,0.4,2,120,0.10833333333333334,0.4583333333333333,0.5083333333333333,0.7,0.9472222222222222,0.8219576719576724
nested,0.4,4,120,0.11666666666666667,0.325,0.4708333333333333,0.6291666666666667,0.9638888888888888,0.7733134920634921
