root_role,root_cause,missing_rate,false_alarm_count,trial,observed_alarm_count,topology_rank,temporal_rank
core,core-01,0.4,0,17,5,1,1
core,core-01,0.4,0,18,5,1,1
core,core-01,0.4,0,19,4,1,1
core,core-01,0.4,2,0,9,1,1
core,core-01,0.4,2,1,11,1,1
core,core-01,0.4,2,2,10,1,1
core,core-01,0.4,2,3,9,1,1
core,core-01,0.4,2,4,5,1,1
core,core-01,0.4,2,5,8,1,1
core,core-01,0.4,2,6,7,1,1
core,core-01,0.4,2,7,6,1,1
core,core-01,0.4,2,8,7,1,1
core,core-01,0.4,2,9,7,1,1
core,core-01,0.4,2,10,7,1,1
core,core-01,0.4,2,11,9,1,1
core,core-01,0.4,2,12,8,1,1
core,core-01,0.4,2,13,7,1,1
core,core-01,0.4,2,14,4,3,1
core,core-01,0.4,2,15,5,2,2
core,core-01,0.4,2,16,7,1,1
core,core-01,0.4,2,17,6,1,1
core,core-01,0.4,2,18,6,2,2
core,core-01,0.4,2,19,11,1,1
core,core-01,0.4,4,0,9,1,1
core,core-01,0.4,4,1,9,1,1
core,core-01,0.4,4,2,9,1,1
core,core-01,0.4,4,3,9,1,1
core,core-01,0.4,4,4,11,1,1
core,core-01,0.4,4,5,7,8,1
core,core-01,0.4,4,6,9,1,1
core,core-01,0.4,4,7,10,1,1
core,core-01,0.4,4,8,8,2,2
core,core-01,0.4,4,9,9,1,1
core,core-01,0.4,4,10,9,1,1
core,core-01,0.4,4,11,10,1,1
core,core-01,0.4,4,12,9,1,1
core,core-01,0.4,4,13,7,1,1
core,core-01,0.4,4,14,9,1,1
core,core-01,0.4,4,15,9,1,1
core,core-01,0.4,4,16,12,1,1
core,core-01,0.4,4,17,11,1,1
core,core-01,0.4,4,18,10,2,2
core,core-01,0.4,4,19,11,1,1
core,core-02,0.0,0,0,9,1,1
core,core-02,0.0,0,1,9,1,1
core,core-02,0.0,0,2,9,1,1
core,core-02,0.0,0,3,9,1,1
core,core-02,0.0,0,4,9,1,1
core,core-02,0.0,0,5,9,1,1
core,core-02,0.0,0,6,9,1,1
core,core-02,0.0,0,7,9,1,1
core,core-02,0.0,0,8,9,1,1
core,core-02,0.0,0,9,9,1,1
core,core-02,0.0,0,10,9,1,1
core,core-02,0.0,0,11,9,1,1
core,core-02,0.0,0,12,9,1,1
core,core-02,0.0,0,13,9,1,1
core,core-02,0.0,0,14,9,1,1
core,core-02,0.0,0,15,9,1,1
core,core-02,0.0,0,16,9,1,1
core,core-02,0.0,0,17,9,1,1
core,core-02,0.0,0,18,9,1,1
core,core-02,0.0,0,19,9,1,1
core,core-02,0.0,2,0,11,1,1
core,core-02,0.0,2,1,11,1,1
core,core-02,0.0,2,2,11,1,1
core,core-02,0.0,2,3,11,1,1
core,core-02,0.0,2,4,11,1,1
core,core-02,0.0,2,5,11,1,1
core,core-02,0.0,2,6,11,1,1
core,core-02,0.0,2,7,11,1,1
core,core-02,0.0,2,8,11,1,1
core,core-02,0.0,2,9,11,1,1
core,core-02,0.0,2,10,11,1,1
core,core-02,0.0,2,11,11,1,1
core,core-02,0.0,2,12,11,1,1
core,core-02,0.0,2,13,11,1,1
core,core-02,0.0,2,14,11,1,1
core,core-02,0.0,2,15,11,1,1
core,core-02,0.0,2,16,11,1,1
core,core-02,0.0,2,17,11,1,1
core,core-02,0.0,2,18,11,1,1
core,core-02,0.0,2,19,11,1,1
core,core-02,0.0,4,0,13,1,1
core,core-02,0.0,4,1,13,1,1
core,core-02,0.0,4,2,13,1,1
core,core-02,0.0,4,3,13,1,1
core,core-02,0.0,4,4,13,1,1
core,core-02,0.0,4,5,13,1,1
core,core-02,0.0,4,6,13,1,1
core,core-02,0.0,4,7,13,1,1
core,core-02,0.0,4,8,13,1,1
core,core-02,0.0,4,9,13,1,1
core,core-02,0.0,4,10,13,1,1
core,core-02,0.0,4,11,13,1,1
core,core-02,0.0,4,12,13,1,1
core,core-02,0.0,4,13,13,1,1
core,core-02,0.0,4,14,13,1,1
core,core-02,0.0,4,15,13,1,1
core,core-02,0.0,4,16,13,1,1
core,core-02,0.0,4,17,13,1,1
core,core-02,0.0,4,18,13,1,1
core,core-02,0.0,4,19,13,1,1
core,core-02,0.2,0,0,7,1,1
core,core-02,0.2,0,1,6,1,1
core,core-02,0.2,0,2,5,1,1
core,core-02,0.2,0,3,7,1,1
core,core-02,0.2,0,4,8,1,1
core,core-02,0.2,0,5,7,1,1
core,core-02,0.2,0,6,9,1,1
core,core-02,0.2,0,7,7,1,1
core,core-02,0.2,0,8,7,1,1
core,core-02,0.2,0,9,4,1,1
core,core-02,0.2,0,10,7,1,1
core,core-02,0.2,0,11,7,1,1
core,core-02,0.2,0,12,9,1,1
core,core-02,0.2,0,13,5,1,1
core,core-02,0.2,0,14,8,1,1
core,core-02,0.2,0,15,9,1,1
