strategy,messages,transferred_bytes,first_detection_delay_s,alarm_episode_recall,mean_staleness_s,p95_staleness_s
fixed_polling_10s,837,133920,4.0,1.0,4.485049833887043,9.0
adaptive_delta_30s,310,24800,0.0,1.0,13.376522702104097,27.0
